date,ADS_Index
1962:12:24,-0.190866
1962:12:25,-0.175049
1962:12:26,-0.158103
1962:12:27,-0.140023
1962:12:28,-0.120804
1962:12:29,-0.100439
1962:12:30,-0.0789227
1962:12:31,-0.0562483
1963:01:01,-0.0324091
1963:01:02,-0.00886127
1963:01:03,0.0144024
1963:01:04,0.0373888
1963:01:05,0.060105
1963:01:06,0.0825578
1963:01:07,0.104754
1963:01:08,0.1267
1963:01:09,0.148403
1963:01:10,0.169869
1963:01:11,0.191105
1963:01:12,0.212117
1963:01:13,0.232912
1963:01:14,0.253495
1963:01:15,0.273874
1963:01:16,0.294053
1963:01:17,0.31404
1963:01:18,0.33384
1963:01:19,0.353459
1963:01:20,0.372903
1963:01:21,0.392178
1963:01:22,0.41129
1963:01:23,0.430245
1963:01:24,0.449048
1963:01:25,0.467705
1963:01:26,0.486222
1963:01:27,0.504604
1963:01:28,0.522856
1963:01:29,0.540985
1963:01:30,0.558996
1963:01:31,0.576894
1963:02:01,0.594684
1963:02:02,0.611381
1963:02:03,0.626988
1963:02:04,0.64151
1963:02:05,0.654952
1963:02:06,0.667319
1963:02:07,0.678613
1963:02:08,0.688838
1963:02:09,0.697997
1963:02:10,0.706093
1963:02:11,0.713128
1963:02:12,0.719105
1963:02:13,0.724025
1963:02:14,0.72789
1963:02:15,0.730701
1963:02:16,0.732459
1963:02:17,0.733164
1963:02:18,0.732816
1963:02:19,0.731416
1963:02:20,0.728963
1963:02:21,0.725456
1963:02:22,0.720894
1963:02:23,0.715277
1963:02:24,0.708601
1963:02:25,0.700865
1963:02:26,0.692068
1963:02:27,0.682205
1963:02:28,0.671275
1963:03:01,0.659273
1963:03:02,0.648334
1963:03:03,0.638453
1963:03:04,0.629629
1963:03:05,0.621859
1963:03:06,0.615139
1963:03:07,0.609469
1963:03:08,0.604846
1963:03:09,0.601269
1963:03:10,0.598736
1963:03:11,0.597248
1963:03:12,0.596804
1963:03:13,0.597403
1963:03:14,0.599045
1963:03:15,0.601732
1963:03:16,0.605464
1963:03:17,0.610242
1963:03:18,0.616068
1963:03:19,0.622943
